"","id","gtaaType","matchDistance","normalizedTag","score","tag","gametime","typingDuration","game_id","owner_id","matchingTagEntry_id","pioneer","creationDate","id","start","initiator_id","video_id","countExistingVideoTags","match","hour","dayOfWeek"
"1",17,NA,NA,"boerenleven",150,"boerenleven",17000,1000,8,6,20823,1,"2011-07-15 17:07:02",8,"2011-07-15 17:06:41",5,2586,0,4.11992496499018,17,5
"2",16,NA,NA,"frans",150,"frans",16000,1000,8,6,20822,1,"2011-07-15 17:07:01",8,"2011-07-15 17:06:41",5,2586,0,3.57320804247784,17,5
"3",15,NA,NA,"bus",5,"bus",15000,1000,8,6,NA,1,"2011-07-15 17:07:00",8,"2011-07-15 17:06:41",5,2586,0,2,17,5
"4",14,NA,NA,"straat",5,"straat",14000,1000,8,6,NA,1,"2011-07-15 17:06:59",8,"2011-07-15 17:06:41",5,2586,0,2.02732372244729,17,5
"5",13,"GeografischeNamen",NA,"newyork",175,"new york",7000,1000,8,6,20816,1,"2011-07-15 17:06:53",8,"2011-07-15 17:06:41",5,2586,0,4.37021227988925,17,5
"6",12,NA,NA,"anders",150,"anders",6000,0,8,6,20814,1,"2011-07-15 17:06:52",8,"2011-07-15 17:06:41",5,2586,0,2.8977546329017,17,5
"7",11,NA,NA,"frans",150,"frans",5000,0,8,6,20812,1,"2011-07-15 17:06:51",8,"2011-07-15 17:06:41",5,2586,0,4.11386114570432,17,5
"8",18,NA,NA,"ouderwets",5,"ouderwets",19000,1000,8,6,NA,1,"2011-07-15 17:07:05",8,"2011-07-15 17:06:41",5,2586,0,2,17,5
"9",19,NA,NA,"thuis",150,"thuis",22000,2000,8,6,20827,1,"2011-07-15 17:07:07",8,"2011-07-15 17:06:41",5,2586,0,5.1354857073957,17,5
"10",20,NA,NA,"brandweer",150,"brandweer",25000,0,8,6,396049,1,"2011-07-15 17:07:11",8,"2011-07-15 17:06:41",5,2586,0,2.36787944117144,17,5
"11",21,NA,NA,"jdfhgdjfhg",5,"jdfhgdjfhg",1000,0,9,7,NA,1,"2011-07-15 17:26:53",9,"2011-07-15 17:26:49",7,3584,0,2,17,5
"12",22,NA,NA,"hond",150,"hond",2000,0,10,10,13604,1,"2011-07-15 17:28:07",10,"2011-07-15 17:28:02",10,3215,0,5.08505940542343,17,5
"13",23,NA,NA,"steenoven",150,"steenoven",5000,2000,10,1,13603,1,"2011-07-15 17:28:09",10,"2011-07-15 17:28:02",10,3215,0,10.1406700289694,17,5
"14",24,NA,NA,"weg",5,"weg",5000,0,10,10,NA,1,"2011-07-15 17:28:11",10,"2011-07-15 17:28:02",10,3215,0,2.00000000000014,17,5
"15",25,NA,NA,"gaarkeuken",150,"gaarkeuken",6000,1000,10,1,13602,1,"2011-07-15 17:28:11",10,"2011-07-15 17:28:02",10,3215,0,8.47934313101117,17,5
"16",26,"GeografischeNamen",NA,"limburg",175,"limburg",8000,1000,10,1,13605,1,"2011-07-15 17:28:13",10,"2011-07-15 17:28:02",10,3215,0,9.15025878750402,17,5
"17",27,"GeografischeNamen",NA,"groningen",175,"groningen",9000,1000,10,1,13606,1,"2011-07-15 17:28:14",10,"2011-07-15 17:28:02",10,3215,0,7.13488868069445,17,5
"18",28,NA,NA,"huis",150,"huis",10000,1000,10,10,35,1,"2011-07-15 17:28:15",10,"2011-07-15 17:28:02",10,3215,0,3.00758228002886,17,5
"19",29,NA,NA,"trekt",150,"trekt",10000,0,10,1,13607,1,"2011-07-15 17:28:15",10,"2011-07-15 17:28:02",10,3215,0,4.03656602013011,17,5
"20",30,NA,NA,"raam",150,"raam",11000,1000,10,10,34,1,"2011-07-15 17:28:16",10,"2011-07-15 17:28:02",10,3215,0,2.3011942119122,17,5
"21",31,NA,NA,"manbijthond",150,"man bijt hond",12000,2000,10,1,61383,1,"2011-07-15 17:28:17",10,"2011-07-15 17:28:02",10,3215,0,2.84377816564309,17,5
"22",32,NA,NA,"rodelijn",5,"rode lijn",13000,2000,10,10,NA,1,"2011-07-15 17:28:18",10,"2011-07-15 17:28:02",10,3215,0,2,17,5
"23",33,NA,NA,"lijn",150,"lijn",14000,1000,10,10,107283,1,"2011-07-15 17:28:19",10,"2011-07-15 17:28:02",10,3215,0,2.35740012230394,17,5
"24",34,NA,NA,"raam",50,"raam",17000,0,10,1,30,0,"2011-07-15 17:28:22",10,"2011-07-15 17:28:02",10,3215,0,2.3011942119122,17,5
"25",35,NA,NA,"huis",50,"huis",18000,1000,10,1,28,0,"2011-07-15 17:28:23",10,"2011-07-15 17:28:02",10,3215,0,3.00770258172364,17,5
"26",36,"GeografischeNamen",NA,"nederland",175,"nederland",23000,1000,10,10,37,1,"2011-07-15 17:28:28",10,"2011-07-15 17:28:02",10,3215,0,2.67032004603564,17,5
"27",37,"GeografischeNamen",NA,"nederland",75,"nederland",25000,1000,10,1,36,0,"2011-07-15 17:28:30",10,"2011-07-15 17:28:02",10,3215,0,2.67032004603564,17,5
"28",38,NA,NA,"klarenbeek",150,"klarenbeek",26000,1000,10,1,13619,1,"2011-07-15 17:28:31",10,"2011-07-15 17:28:02",10,3215,0,13.1898820259807,17,5
"29",39,NA,NA,"deur",150,"deur",28000,1000,10,1,40,1,"2011-07-15 17:28:33",10,"2011-07-15 17:28:02",10,3215,0,5.37850252727893,17,5
"30",40,NA,NA,"deur",50,"deur",30000,1000,10,10,39,0,"2011-07-15 17:28:35",10,"2011-07-15 17:28:02",10,3215,0,6.3077815521916,17,5
"31",41,NA,NA,"hallo",150,"hallo",31000,1000,10,1,13622,1,"2011-07-15 17:28:36",10,"2011-07-15 17:28:02",10,3215,0,4,17,5
"32",42,NA,NA,"wacht",150,"wacht",43000,1000,10,1,69645,1,"2011-07-15 17:28:48",10,"2011-07-15 17:28:02",10,3215,0,3.44932896432246,17,5
"33",43,NA,NA,"kneus",150,"kneus",43000,0,10,10,90058,1,"2011-07-15 17:28:48",10,"2011-07-15 17:28:02",10,3215,0,2,17,5
"34",44,NA,NA,"dierenarts",150,"dierenarts",45000,2000,10,1,13632,1,"2011-07-15 17:28:49",10,"2011-07-15 17:28:02",10,3215,0,7.50493528836635,17,5
"35",45,NA,NA,"dork",5,"dork",45000,0,10,10,NA,1,"2011-07-15 17:28:50",10,"2011-07-15 17:28:02",10,3215,0,2,17,5
"36",46,NA,NA,"blaft",5,"blaft",46000,0,10,1,NA,1,"2011-07-15 17:28:51",10,"2011-07-15 17:28:02",10,3215,0,2,17,5
"37",47,NA,NA,"hond",150,"hond",47000,1000,10,1,47872,1,"2011-07-15 17:28:52",10,"2011-07-15 17:28:02",10,3215,0,4.08437057535902,17,5
"38",48,NA,NA,"blaffen",150,"blaffen",50000,1000,10,1,47873,1,"2011-07-15 17:28:55",10,"2011-07-15 17:28:02",10,3215,0,2.95406603631459,17,5
"39",49,NA,NA,"wachten",150,"wachten",53000,1000,10,1,107300,1,"2011-07-15 17:28:58",10,"2011-07-15 17:28:02",10,3215,0,2.81873075383624,17,5
"40",50,"Persoonsnamen",NA,"gras",25,"gras",54000,1000,10,10,NA,1,"2011-07-15 17:28:58",10,"2011-07-15 17:28:02",10,3215,0,2.11080594525481,17,5
"41",51,NA,NA,"eendje",5,"eendje",54000,1000,10,1,NA,1,"2011-07-15 17:28:59",10,"2011-07-15 17:28:02",10,3215,0,2,17,5
"42",52,NA,NA,"tuin",150,"tuin",55000,1000,10,10,55,1,"2011-07-15 17:29:00",10,"2011-07-15 17:28:02",10,3215,0,4.48719139932487,17,5
"43",53,NA,NA,"grind",150,"grind",58000,1000,10,10,69673,1,"2011-07-15 17:29:03",10,"2011-07-15 17:28:02",10,3215,0,2.3011942119122,17,5
"44",54,NA,NA,"lopen",150,"lopen",58000,1000,10,1,144231,1,"2011-07-15 17:29:03",10,"2011-07-15 17:28:02",10,3215,0,2.54881500810926,17,5
