min_evidence,threshold,accuracy norm,accuracy prov,accuracy avg,true positive norm,true negative norm,false positive norm,false negative norm,true positive prov,true negative prov,false positive prov,false negative prov,true positive avg,true negative avg,false positive avg,false negative avg
2,5.0,0.329810656099,0.759841479524,0.759841479524,1795.0,1950.0,777.0,6833.0,8628.0,0.0,2727.0,0.0,8628.0,0.0,2727.0,0.0
2,5.5,0.370145310436,0.382122413034,0.337120211361,1605.0,2598.0,967.0,6185.0,1793.0,2546.0,1019.0,5997.0,376.0,3452.0,113.0,7414.0
2,6.0,0.388022897402,0.398590929106,0.368031704095,1514.0,2892.0,1058.0,5891.0,1694.0,2832.0,1118.0,5711.0,359.0,3820.0,130.0,7046.0
2,6.5,0.446059004844,0.454161162483,0.433817701453,1004.0,4061.0,692.0,5598.0,1148.0,4009.0,744.0,5454.0,308.0,4618.0,135.0,6294.0
2,7.0,0.477939233818,0.484896521356,0.483927785117,483.0,4944.0,417.0,5511.0,620.0,4886.0,475.0,5374.0,288.0,5207.0,154.0,5706.0
2,7.5,0.542228093351,0.547424042272,0.547600176134,25.0,6132.0,8.0,5190.0,152.0,6064.0,76.0,5063.0,260.0,5958.0,182.0,4955.0
2,8.0,0.621136063408,0.621752531924,0.620871862616,9.0,7044.0,6.0,4296.0,110.0,6950.0,100.0,4195.0,221.0,6829.0,221.0,4084.0
2,8.5,0.734742404227,0.730603258476,0.7238221048,0.0,8343.0,0.0,3012.0,71.0,8225.0,118.0,2941.0,156.0,8063.0,280.0,2856.0
2,9.0,0.897578159401,0.897578159401,0.897578159401,0.0,10192.0,0.0,1163.0,0.0,10192.0,0.0,1163.0,0.0,10192.0,0.0,1163.0
2,9.5,0.998855129899,0.998855129899,0.998855129899,0.0,11342.0,0.0,13.0,0.0,11342.0,0.0,13.0,0.0,11342.0,0.0,13.0
