min_evidence,threshold,accuracy norm,accuracy prov,accuracy avg,true positive norm,true negative norm,false positive norm,false negative norm,true positive prov,true negative prov,false positive prov,false negative prov,true positive avg,true negative avg,false positive avg,false negative avg
2,6.0,0.226508146191,1.0,0.226508146191,2572.0,0.0,0.0,8783.0,11355.0,0.0,0.0,0.0,2572.0,0.0,0.0,8783.0
2,6.5,0.226508146191,1.0,0.226508146191,2572.0,0.0,0.0,8783.0,11355.0,0.0,0.0,0.0,2572.0,0.0,0.0,8783.0
2,7.0,0.377454865698,0.702950242184,0.377454865698,1570.0,2716.0,999.0,6070.0,6892.0,1090.0,2625.0,748.0,1570.0,2716.0,999.0,6070.0
2,7.5,0.46094231616,0.657155438133,0.47512109203,971.0,4263.0,725.0,5396.0,5559.0,1903.0,3085.0,808.0,1104.0,4291.0,697.0,5263.0
2,8.0,0.542051959489,0.542051959489,0.542051959489,25.0,6130.0,8.0,5192.0,25.0,6130.0,8.0,5192.0,20.0,6135.0,3.0,5197.0
2,8.5,0.671950682519,0.671950682519,0.671950682519,0.0,7630.0,0.0,3725.0,0.0,7630.0,0.0,3725.0,0.0,7630.0,0.0,3725.0
2,9.0,0.858740642889,0.858740642889,0.858740642889,0.0,9751.0,0.0,1604.0,0.0,9751.0,0.0,1604.0,0.0,9751.0,0.0,1604.0
2,9.5,0.997886393659,0.997886393659,0.997886393659,0.0,11331.0,0.0,24.0,0.0,11331.0,0.0,24.0,0.0,11331.0,0.0,24.0
2,10.0,1.0,1.0,1.0,0.0,11355.0,0.0,0.0,0.0,11355.0,0.0,0.0,0.0,11355.0,0.0,0.0
3,6.0,0.226508146191,1.0,0.226508146191,2572.0,0.0,0.0,8783.0,11355.0,0.0,0.0,0.0,2572.0,0.0,0.0,8783.0
3,6.5,0.226508146191,1.0,0.226508146191,2572.0,0.0,0.0,8783.0,11355.0,0.0,0.0,0.0,2572.0,0.0,0.0,8783.0
3,7.0,0.377454865698,0.702950242184,0.377454865698,1570.0,2716.0,999.0,6070.0,6892.0,1090.0,2625.0,748.0,1570.0,2716.0,999.0,6070.0
3,7.5,0.46094231616,0.657155438133,0.47512109203,971.0,4263.0,725.0,5396.0,5559.0,1903.0,3085.0,808.0,1104.0,4291.0,697.0,5263.0
3,8.0,0.542051959489,0.542051959489,0.542051959489,25.0,6130.0,8.0,5192.0,25.0,6130.0,8.0,5192.0,20.0,6135.0,3.0,5197.0
3,8.5,0.671950682519,0.671950682519,0.671950682519,0.0,7630.0,0.0,3725.0,0.0,7630.0,0.0,3725.0,0.0,7630.0,0.0,3725.0
3,9.0,0.858740642889,0.858740642889,0.858740642889,0.0,9751.0,0.0,1604.0,0.0,9751.0,0.0,1604.0,0.0,9751.0,0.0,1604.0
3,9.5,0.997886393659,0.997886393659,0.997886393659,0.0,11331.0,0.0,24.0,0.0,11331.0,0.0,24.0,0.0,11331.0,0.0,24.0
3,10.0,1.0,1.0,1.0,0.0,11355.0,0.0,0.0,0.0,11355.0,0.0,0.0,0.0,11355.0,0.0,0.0
4,6.0,0.226508146191,1.0,0.226508146191,2572.0,0.0,0.0,8783.0,11355.0,0.0,0.0,0.0,2572.0,0.0,0.0,8783.0
4,6.5,0.226508146191,1.0,0.226508146191,2572.0,0.0,0.0,8783.0,11355.0,0.0,0.0,0.0,2572.0,0.0,0.0,8783.0
4,7.0,0.377454865698,0.702950242184,0.377454865698,1570.0,2716.0,999.0,6070.0,6892.0,1090.0,2625.0,748.0,1570.0,2716.0,999.0,6070.0
4,7.5,0.46094231616,0.657155438133,0.47512109203,971.0,4263.0,725.0,5396.0,5559.0,1903.0,3085.0,808.0,1104.0,4291.0,697.0,5263.0
4,8.0,0.542051959489,0.542051959489,0.542051959489,25.0,6130.0,8.0,5192.0,25.0,6130.0,8.0,5192.0,20.0,6135.0,3.0,5197.0
4,8.5,0.671950682519,0.671950682519,0.671950682519,0.0,7630.0,0.0,3725.0,0.0,7630.0,0.0,3725.0,0.0,7630.0,0.0,3725.0
4,9.0,0.858740642889,0.858740642889,0.858740642889,0.0,9751.0,0.0,1604.0,0.0,9751.0,0.0,1604.0,0.0,9751.0,0.0,1604.0
4,9.5,0.997886393659,0.997886393659,0.997886393659,0.0,11331.0,0.0,24.0,0.0,11331.0,0.0,24.0,0.0,11331.0,0.0,24.0
4,10.0,1.0,1.0,1.0,0.0,11355.0,0.0,0.0,0.0,11355.0,0.0,0.0,0.0,11355.0,0.0,0.0
5,6.0,0.226508146191,1.0,0.226508146191,2572.0,0.0,0.0,8783.0,11355.0,0.0,0.0,0.0,2572.0,0.0,0.0,8783.0
5,6.5,0.226508146191,1.0,0.226508146191,2572.0,0.0,0.0,8783.0,11355.0,0.0,0.0,0.0,2572.0,0.0,0.0,8783.0
5,7.0,0.377454865698,0.702950242184,0.377454865698,1570.0,2716.0,999.0,6070.0,6892.0,1090.0,2625.0,748.0,1570.0,2716.0,999.0,6070.0
5,7.5,0.46094231616,0.657155438133,0.47512109203,971.0,4263.0,725.0,5396.0,5559.0,1903.0,3085.0,808.0,1104.0,4291.0,697.0,5263.0
5,8.0,0.542051959489,0.542051959489,0.542051959489,25.0,6130.0,8.0,5192.0,25.0,6130.0,8.0,5192.0,20.0,6135.0,3.0,5197.0
5,8.5,0.671950682519,0.671950682519,0.671950682519,0.0,7630.0,0.0,3725.0,0.0,7630.0,0.0,3725.0,0.0,7630.0,0.0,3725.0
