"","id","gtaaType","matchDistance","normalizedTag","score","tag","gametime","typingDuration","game_id","owner_id","matchingTagEntry_id","pioneer","creationDate","id","start","initiator_id","video_id","countExistingVideoTags","match","hour","dayOfWeek"
"295259",295269,NA,NA,"u",0,"u",269000,1000,9467,4479,378416,1,"2011-10-19 17:35:32",9467,"2011-10-19 17:30:57",4479,2675,0,2.85662286805901,17,3
"295261",295271,NA,NA,"hond",50,"hond",1000,1000,9468,4479,19629,0,"2011-10-19 17:36:40",9468,"2011-10-19 17:36:34",4479,2773,0,5.31804100759216,17,3
"295262",295272,NA,NA,"steenoven",50,"steenoven",4000,2000,9468,4479,16229,0,"2011-10-19 17:36:43",9468,"2011-10-19 17:36:34",4479,2773,0,10.5165173544114,17,3
"295263",295273,NA,NA,"gaarkeuken",50,"gaarkeuken",6000,2000,9468,4479,54287,0,"2011-10-19 17:36:45",9468,"2011-10-19 17:36:34",4479,2773,0,7.67548631390173,17,3
"295264",295274,"GeografischeNamen",NA,"limburg",75,"limburg",9000,2000,9468,4479,16231,0,"2011-10-19 17:36:48",9468,"2011-10-19 17:36:34",4479,2773,0,11.4552796888241,17,3
"295265",295275,"GeografischeNamen",NA,"groningen",75,"groningen",15000,2000,9468,4479,16232,0,"2011-10-19 17:36:54",9468,"2011-10-19 17:36:34",4479,2773,0,7.0645240978031,17,3
"295266",295276,NA,NA,"verhalen",50,"verhalen",17000,1000,9468,4479,54294,0,"2011-10-19 17:36:56",9468,"2011-10-19 17:36:34",4479,2773,0,6.50302809656771,17,3
"295267",295277,NA,NA,"steenoven",50,"steenoven",20000,1000,9468,4479,54295,0,"2011-10-19 17:36:59",9468,"2011-10-19 17:36:34",4479,2773,0,6.1424549514496,17,3
"295272",295282,NA,NA,"hond",50,"hond",35000,1000,9468,4479,120461,0,"2011-10-19 17:37:14",9468,"2011-10-19 17:36:34",4479,2773,0,3.69426530385763,17,3
"295273",295283,NA,NA,"steenoven",50,"steenoven",38000,2000,9468,4479,120464,0,"2011-10-19 17:37:16",9468,"2011-10-19 17:36:34",4479,2773,0,4.64910287097862,17,3
"295275",295285,NA,NA,"kijken",50,"kijken",39000,1000,9468,4479,120468,0,"2011-10-19 17:37:18",9468,"2011-10-19 17:36:34",4479,2773,0,2.36787944117144,17,3
"295276",295286,NA,NA,"doen",50,"doen",42000,1000,9468,4479,120467,0,"2011-10-19 17:37:21",9468,"2011-10-19 17:36:34",4479,2773,0,7.23122667760553,17,3
"295279",295289,NA,NA,"lijn",50,"lijn",52000,1000,9468,4479,120472,0,"2011-10-19 17:37:31",9468,"2011-10-19 17:36:34",4479,2773,0,5.65617948531768,17,3
"295284",295294,NA,NA,"lopen",50,"lopen",60000,1000,9468,4479,54312,0,"2011-10-19 17:37:39",9468,"2011-10-19 17:36:34",4479,2773,0,6.90944870647001,17,3
"295285",295295,NA,NA,"trekt",50,"trekt",63000,1000,9468,4479,54313,0,"2011-10-19 17:37:42",9468,"2011-10-19 17:36:34",4479,2773,0,7.45622269171695,17,3
"295286",295296,NA,NA,"u",0,"u",63000,0,9468,4479,193208,0,"2011-10-19 17:37:42",9468,"2011-10-19 17:36:34",4479,2773,0,3.92156074857245,17,3
"295297",295307,NA,NA,"lijn",50,"lijn",82000,1000,9468,4479,120503,0,"2011-10-19 17:38:00",9468,"2011-10-19 17:36:34",4479,2773,0,4.50260720553314,17,3
"295299",295309,NA,NA,"doen",50,"doen",84000,1000,9468,4479,120500,0,"2011-10-19 17:38:03",9468,"2011-10-19 17:36:34",4479,2773,0,5.40718594080912,17,3
"295306",295316,NA,NA,"huis",50,"huis",97000,1000,9468,4479,62113,0,"2011-10-19 17:38:16",9468,"2011-10-19 17:36:34",4479,2773,0,9.08356283666259,17,3
"295320",295330,NA,NA,"u",0,"u",126000,0,9468,4479,NA,1,"2011-10-19 17:38:45",9468,"2011-10-19 17:36:34",4479,2773,0,2.00369874108804,17,3
"295328",295338,NA,NA,"deur",150,"deur",140000,1000,9468,4479,399144,1,"2011-10-19 17:38:59",9468,"2011-10-19 17:36:34",4479,2773,0,3.6684830923367,17,3
"295337",295347,NA,NA,"u",0,"u",158000,0,9468,4479,361834,1,"2011-10-19 17:39:17",9468,"2011-10-19 17:36:34",4479,2773,0,3.00600653017236,17,3
"295356",295366,NA,NA,"u",0,"u",194000,0,9468,4479,120659,0,"2011-10-19 17:39:53",9468,"2011-10-19 17:36:34",4479,2773,0,3.26804094806246,17,3
"295381",295391,NA,NA,"u",0,"u",252000,0,9468,4479,NA,1,"2011-10-19 17:40:51",9468,"2011-10-19 17:36:34",4479,2773,0,2.0000423329728,17,3
"295389",295399,NA,NA,"steenoven",50,"steenoven",6000,2000,9469,627,21346,0,"2011-10-19 18:02:26",9469,"2011-10-19 18:02:15",627,2959,0,7.7971050489264,18,3
"295391",295401,NA,NA,"hond",50,"hond",12000,1000,9469,627,47721,0,"2011-10-19 18:02:32",9469,"2011-10-19 18:02:15",627,2959,0,5.76018331622167,18,3
"295392",295402,NA,NA,"huis",50,"huis",18000,1000,9469,627,21355,0,"2011-10-19 18:02:38",9469,"2011-10-19 18:02:15",627,2959,0,3.70511124240271,18,3
"295395",295405,NA,NA,"tuin",50,"tuin",41000,1000,9469,627,257438,0,"2011-10-19 18:03:01",9469,"2011-10-19 18:02:15",627,2959,0,2.89222259335449,18,3
"295406",295416,NA,NA,"weg",5,"weg",4000,0,9474,6481,NA,1,"2011-10-19 20:00:15",9474,"2011-10-19 20:00:07",6481,10416,0,2.06081006264114,20,3
"295413",295423,NA,NA,"huis",50,"huis",27000,0,9474,6481,63537,0,"2011-10-19 20:00:38",9474,"2011-10-19 20:00:07",6481,10416,0,2.00000007933586,20,3
"295414",295424,NA,NA,"auto",50,"auto",28000,0,9474,6481,63521,0,"2011-10-19 20:00:39",9474,"2011-10-19 20:00:07",6481,10416,0,2.41143298114788,20,3
"295418",295428,NA,NA,"deur",5,"deur",45000,1000,9474,6481,NA,1,"2011-10-19 20:00:55",9474,"2011-10-19 20:00:07",6481,10416,0,2.09279972241561,20,3
"295436",295446,NA,NA,"auto",50,"auto",135000,1000,9474,6481,83757,0,"2011-10-19 20:02:26",9474,"2011-10-19 20:00:07",6481,10416,0,5.00534140440024,20,3
"295437",295447,NA,NA,"weg",50,"weg",138000,3000,9474,6481,83756,0,"2011-10-19 20:02:29",9474,"2011-10-19 20:00:07",6481,10416,0,6.30778155223165,20,3
"295446",295456,"GeografischeNamen",NA,"limburg",25,"limburg",20000,2000,9475,6439,NA,1,"2011-10-19 20:02:46",9475,"2011-10-19 20:02:16",6439,11881,0,2,20,3
