"","typingDuration","game_id","video_id","hour","dayOfWeek","match"
"26496",1000,9467,2675,17,3,0.85662286805901
"26497",1000,9468,2773,17,3,3.31804100759216
"26498",2000,9468,2773,17,3,8.5165173544114
"26499",2000,9468,2773,17,3,5.67548631390173
"26500",2000,9468,2773,17,3,9.4552796888241
"26501",2000,9468,2773,17,3,5.0645240978031
"26502",1000,9468,2773,17,3,4.50302809656771
"26503",1000,9468,2773,17,3,4.1424549514496
"26504",1000,9468,2773,17,3,1.69426530385763
"26505",2000,9468,2773,17,3,2.64910287097862
"26506",1000,9468,2773,17,3,0.36787944117144
"26507",1000,9468,2773,17,3,5.23122667760553
"26508",1000,9468,2773,17,3,3.65617948531768
"26509",1000,9468,2773,17,3,4.90944870647001
"26510",1000,9468,2773,17,3,5.45622269171695
"26511",0,9468,2773,17,3,1.92156074857245
"26512",1000,9468,2773,17,3,2.50260720553314
"26513",1000,9468,2773,17,3,3.40718594080912
"26514",1000,9468,2773,17,3,7.08356283666259
"26515",0,9468,2773,17,3,0.0036987410880398
"26516",1000,9468,2773,17,3,1.6684830923367
"26517",0,9468,2773,17,3,1.00600653017236
"26518",0,9468,2773,17,3,1.26804094806246
"26519",0,9468,2773,17,3,4.23329728000965e-05
"26520",2000,9469,2959,18,3,5.7971050489264
"26521",1000,9469,2959,18,3,3.76018331622167
"26522",1000,9469,2959,18,3,1.70511124240271
"26523",1000,9469,2959,18,3,0.89222259335449
"26524",0,9474,10416,20,3,0.0608100626411399
"26525",0,9474,10416,20,3,7.93358601036687e-08
"26526",0,9474,10416,20,3,0.41143298114788
"26527",1000,9474,10416,20,3,0.0927997224156099
"26528",1000,9474,10416,20,3,3.00534140440024
"26529",3000,9474,10416,20,3,4.30778155223165
"26530",2000,9475,11881,20,3,0
"26531",4000,9475,11881,20,3,9.134944955576
"26532",2000,9475,11881,20,3,14.3218479007294
"26533",3000,9475,11881,20,3,2.1188163357574
"26534",3000,9475,11881,20,3,8.8071353826335
"26535",1000,9475,11881,20,3,9.4392977527892
"26536",3000,9476,10485,20,3,0
"26537",1000,9477,640,20,3,0.47868259953378
"26538",1000,9477,640,20,3,2.17436642196974
"26539",2000,9478,3795,20,3,8.5412818369378
"26540",2000,9478,3795,20,3,6.75395922693713
"26541",1000,9478,3795,20,3,1.94718581805362
"26542",1000,9478,3795,20,3,0.68259738593881
"26543",0,9478,3795,20,3,1.00921442813724
"26544",1000,9477,640,20,3,3.09974268475344e-13
"26545",2000,9477,640,20,3,0
"26546",1000,9478,3795,20,3,0.00673794700418995
"26547",2000,9478,3795,20,3,0.81873075307798
"26548",2000,9478,3795,20,3,0
"26549",0,9478,3795,20,3,0.00183376204162
"26550",0,9478,3795,20,3,3.2197429348908
"26551",1000,9478,3795,20,3,4.08493519898911e-07
"26552",2000,9477,640,20,3,0.20889608223797
"26553",1000,9478,3795,20,3,3.52557506776107
"26554",1000,9478,3795,20,3,0.00167560835674996
"26555",1000,9478,3795,20,3,1.03853494983625
"26556",1000,9479,10535,20,3,6.84326995070705e-09
"26557",0,9479,10535,20,3,0
"26558",1000,9479,10535,20,3,0
"26559",0,9479,10535,20,3,0
"26560",0,9479,10535,20,3,0.61432049562097
